generation,energy
637,9.57831e-11
638,9.57831e-11
639,9.57831e-11
640,9.57831e-11
641,9.57831e-11
642,9.57831e-11
643,9.57831e-11
644,9.57831e-11
645,9.57831e-11
646,9.57831e-11
647,9.57831e-11
648,9.57831e-11
649,9.57831e-11
650,9.57831e-11
651,9.57831e-11
652,9.57831e-11
653,9.57831e-11
654,9.57831e-11
655,9.57831e-11
656,9.57831e-11
657,9.57831e-11
658,9.57831e-11
659,9.57831e-11
660,9.57831e-11
661,9.57831e-11
662,9.57831e-11
663,9.57831e-11
664,9.57831e-11
665,9.57831e-11
666,9.57831e-11
667,9.57831e-11
668,9.57831e-11
669,9.57831e-11
670,9.57831e-11
671,9.57831e-11
672,9.57831e-11
673,9.57831e-11
674,9.57831e-11
675,9.57831e-11
676,9.57831e-11
677,9.57831e-11
678,9.57831e-11
679,9.57831e-11
680,9.57831e-11
681,9.57831e-11
682,9.57831e-11
683,9.57831e-11
684,9.57831e-11
685,9.57831e-11
686,9.57831e-11
687,9.57831e-11
688,9.57831e-11
689,9.57831e-11
690,9.57831e-11
691,9.57831e-11
692,9.57831e-11
693,9.57831e-11
694,9.57831e-11
695,9.57831e-11
696,9.57831e-11
697,9.57831e-11
698,9.57831e-11
699,9.57831e-11
700,9.57831e-11
701,9.57831e-11
702,9.57831e-11
703,9.57831e-11
704,9.57831e-11
705,9.57831e-11
706,9.57831e-11
707,9.57831e-11
708,9.57831e-11
709,9.57831e-11
710,9.57831e-11
711,9.57831e-11
712,9.57831e-11
713,9.57831e-11
714,9.57831e-11
715,9.57831e-11
716,9.57831e-11
717,9.57831e-11
718,9.57831e-11
719,9.57831e-11
720,9.57831e-11
721,9.57831e-11
722,9.57831e-11
723,9.57831e-11
724,9.57831e-11
725,9.57831e-11
726,9.57831e-11
727,9.57831e-11
728,9.57831e-11
729,9.57831e-11
730,9.57831e-11
731,9.57831e-11
732,9.57831e-11
733,9.57831e-11
734,9.57831e-11
735,9.57831e-11
736,9.57831e-11
737,9.57831e-11
738,9.57831e-11
739,9.57831e-11
740,9.57831e-11
741,9.57831e-11
742,9.57831e-11
743,9.57831e-11
744,9.57831e-11
745,9.57831e-11
746,9.57831e-11
747,9.57831e-11
748,9.57831e-11
749,9.57831e-11
750,9.57831e-11
751,9.57831e-11
752,9.57831e-11
753,9.57831e-11
754,9.57831e-11
755,9.57831e-11
756,9.57831e-11
757,9.57831e-11
758,9.57831e-11
759,9.57831e-11
760,9.57831e-11
761,9.57831e-11
762,9.57831e-11
763,9.57831e-11
764,9.57831e-11
765,9.57831e-11
766,9.57831e-11
767,9.57831e-11
768,9.57831e-11
769,9.57831e-11
770,9.57831e-11
771,9.57831e-11
772,9.57831e-11
773,9.57831e-11
774,9.57831e-11
775,9.57831e-11
776,9.57831e-11
777,9.57831e-11
778,9.57831e-11
779,9.57831e-11
780,9.57831e-11
781,9.57831e-11
782,9.57831e-11
783,9.57831e-11
784,9.57831e-11
785,9.57831e-11
786,9.57831e-11
787,9.57831e-11
788,9.57831e-11
789,9.57831e-11
790,9.57831e-11
791,9.57831e-11
792,9.57831e-11
793,9.57831e-11
794,9.57831e-11
795,9.57831e-11
796,9.57831e-11
797,9.57831e-11
798,9.57831e-11
799,9.57831e-11
800,9.57831e-11
801,9.57831e-11
802,9.57831e-11
803,9.57831e-11
804,9.57831e-11
805,9.57831e-11
806,9.57831e-11
807,9.57831e-11
808,9.57831e-11
809,9.57831e-11
810,9.57831e-11
811,9.57831e-11
812,9.57831e-11
813,9.57831e-11
814,9.57831e-11
815,9.57831e-11
816,9.57831e-11
817,9.57831e-11
818,9.57831e-11
819,9.57831e-11
820,9.57831e-11
821,9.57831e-11
822,9.57831e-11
823,9.57831e-11
824,9.57831e-11
825,9.57831e-11
826,9.57831e-11
827,9.57831e-11
828,9.57831e-11
829,9.57831e-11
830,9.57831e-11
831,9.57831e-11
832,9.57831e-11
833,9.57831e-11
834,9.57831e-11
835,9.57831e-11
836,9.57831e-11
837,9.57831e-11
838,9.57831e-11
839,9.57831e-11
840,9.57831e-11
841,9.57831e-11
842,9.57831e-11
843,9.57831e-11
844,9.57831e-11
845,9.57831e-11
846,9.57831e-11
847,9.57831e-11
848,9.57831e-11
849,9.57831e-11
850,9.57831e-11
851,9.57831e-11
852,9.57831e-11
853,9.57831e-11
854,9.57831e-11
855,9.57831e-11
856,9.57831e-11
857,9.57831e-11
858,9.57831e-11
859,9.57831e-11
860,9.57831e-11
861,9.57831e-11
862,9.57831e-11
863,9.57831e-11
864,9.57831e-11
865,9.57831e-11
866,9.57831e-11
867,9.57831e-11
868,9.57831e-11
869,9.57831e-11
870,9.57831e-11
871,9.57831e-11
872,9.57831e-11
873,9.57831e-11
874,9.57831e-11
875,9.57831e-11
876,9.57831e-11
877,9.57831e-11
878,9.57831e-11
879,9.57831e-11
880,9.57831e-11
881,9.57831e-11
882,9.57831e-11
883,9.57831e-11
884,9.57831e-11
885,9.57831e-11
886,9.57831e-11
887,9.57831e-11
888,9.57831e-11
889,9.57831e-11
890,9.57831e-11
891,9.57831e-11
892,9.57831e-11
893,9.57831e-11
894,9.57831e-11
895,9.57831e-11
896,9.57831e-11
897,9.57831e-11
898,9.57831e-11
899,9.57831e-11
900,9.57831e-11
901,9.57831e-11
902,9.57831e-11
903,9.57831e-11
904,9.57831e-11
905,9.57831e-11
906,9.57831e-11
907,9.57831e-11
908,9.57831e-11
909,9.57831e-11
910,9.57831e-11
911,9.57831e-11
912,9.57831e-11
913,9.57831e-11
914,9.57831e-11
915,9.57831e-11
916,9.57831e-11
917,9.57831e-11
918,9.57831e-11
919,9.57831e-11
920,9.57831e-11
921,9.57831e-11
922,9.57831e-11
923,9.57831e-11
924,9.57831e-11
925,9.57831e-11
926,9.57831e-11
927,9.57831e-11
928,9.57831e-11
929,9.57831e-11
930,9.57831e-11
931,9.57831e-11
932,9.57831e-11
933,9.57831e-11
934,9.57831e-11
